province_name,province_code,region,capital_city,latitude,longitude
北京市,110000,华北,北京,39.9042,116.4074
天津市,120000,华北,天津,39.0842,117.2000
河北省,130000,华北,石家庄,38.0428,114.5149
山西省,140000,华北,太原,37.8706,112.5489
内蒙古自治区,150000,华北,呼和浩特,40.8426,111.7492
辽宁省,210000,东北,沈阳,41.8057,123.4315
吉林省,220000,东北,长春,43.8171,125.3235
黑龙江省,230000,东北,哈尔滨,45.8038,126.5349
上海市,310000,华东,上海,31.2304,121.4737
江苏省,320000,华东,南京,32.0603,118.7969
浙江省,330000,华东,杭州,30.2741,120.1551
安徽省,340000,华东,合肥,31.8206,117.2272
福建省,350000,华东,福州,26.0745,119.2965
江西省,360000,华东,南昌,28.6820,115.8579
山东省,370000,华东,济南,36.6512,117.1201
河南省,410000,中南,郑州,34.7466,113.6254
湖北省,420000,中南,武汉,30.5928,114.3055
湖南省,430000,中南,长沙,28.2282,112.9388
广东省,440000,中南,广州,23.1291,113.2644
广西壮族自治区,450000,中南,南宁,22.8170,108.3669
海南省,460000,中南,海口,20.0440,110.1999
重庆市,500000,西南,重庆,29.5630,106.5516
四川省,510000,西南,成都,30.5728,104.0668
贵州省,520000,西南,贵阳,26.6470,106.6302
云南省,530000,西南,昆明,25.0389,102.7183
西藏自治区,540000,西南,拉萨,29.6520,91.1721
陕西省,610000,西北,西安,34.3416,108.9398
甘肃省,620000,西北,兰州,36.0611,103.8343
青海省,630000,西北,西宁,36.6171,101.7782
宁夏回族自治区,640000,西北,银川,38.4872,106.2309
新疆维吾尔自治区,650000,西北,乌鲁木齐,43.8256,87.6168
台湾省,710000,港澳台,台北,25.0330,121.5654
香港特别行政区,810000,港澳台,香港,22.3193,114.1694
澳门特别行政区,820000,港澳台,澳门,22.1987,113.5439
