province_name,province_code,region
北京市,110000,华北
天津市,120000,华北
河北省,130000,华北
山西省,140000,华北
内蒙古自治区,150000,华北
辽宁省,210000,东北
吉林省,220000,东北
黑龙江省,230000,东北
上海市,310000,华东
江苏省,320000,华东
浙江省,330000,华东
安徽省,340000,华东
福建省,350000,华东
江西省,360000,华东
山东省,370000,华东
河南省,410000,中南
湖北省,420000,中南
湖南省,430000,中南
广东省,440000,中南
广西壮族自治区,450000,中南
海南省,460000,中南
重庆市,500000,西南
四川省,510000,西南
贵州省,520000,西南
云南省,530000,西南
西藏自治区,540000,西南
陕西省,610000,西北
甘肃省,620000,西北
青海省,630000,西北
宁夏回族自治区,640000,西北
新疆维吾尔自治区,650000,西北
台湾省,710000,港澳台
香港特别行政区,810000,港澳台
澳门特别行政区,820000,港澳台
